Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_8_2.rcp | 2.8531E-4 | 9 | 455 | 0 | 3.15356E-4 | 9 | 455 | 0 | 4.36305E-4 | 9 | 455 | 0 | 3.31823E-4 | 9 | 455 | 0 | 
j30_8_3.rcp | 2.27433E-4 | 10 | 379 | 0 | 2.66658E-4 | 10 | 379 | 0 | 4.27685E-4 | 10 | 379 | 0 | 2.60742E-4 | 10 | 379 | 0 | 
j30_8_4.rcp | 4.94056E-4 | 11 | 334 | 0 | 4.10245E-4 | 11 | 334 | 1 | 5.04543E-4 | 11 | 334 | 1 | 3.54952E-4 | 11 | 334 | 1 | 
j30_8_5.rcp | 5.77392E-4 | 10 | 476 | 0 | 4.47711E-4 | 10 | 476 | 1 | 7.99481E-4 | 10 | 476 | 1 | 4.3421E-4 | 10 | 476 | 1 | 
j30_8_6.rcp | 4.74975E-4 | 10 | 651 | 0 | 5.28444E-4 | 10 | 651 | 0 | 4.87728E-4 | 10 | 651 | 0 | 3.40036E-4 | 10 | 651 | 0 | 
j30_8_7.rcp | 3.94874E-4 | 7 | 362 | 0 | 3.89612E-4 | 7 | 362 | 1 | 4.19529E-4 | 7 | 362 | 1 | 3.03336E-4 | 7 | 362 | 1 | 
j30_8_8.rcp | 4.70929E-4 | 11 | 478 | 0 | 3.63357E-4 | 11 | 478 | 0 | 4.92388E-4 | 11 | 478 | 0 | 3.27707E-4 | 11 | 478 | 0 | 
j30_8_9.rcp | 2.92984E-4 | 10 | 379 | 0 | 3.82827E-4 | 10 | 379 | 1 | 4.78014E-4 | 10 | 379 | 1 | 3.29827E-4 | 10 | 379 | 1 | 
j30_8_10.rcp | 3.77812E-4 | 10 | 759 | 0 | 4.08883E-4 | 10 | 759 | 0 | 5.67758E-4 | 10 | 759 | 0 | 3.86181E-4 | 10 | 759 | 0 | 
j30_9_1.rcp | 60.000072 | 803366 | -1 | 1233674 | 60.000134 | 523630 | -1 | 887340 | 60.000225 | 385523 | -1 | 616901 | 60.000065 | 502395 | -1 | 794684 | 
j30_9_2.rcp | 30.493336 | 303808 | 652 | 1051895 | 31.668428 | 303808 | 652 | 684259 | 39.581352 | 303808 | 652 | 674839 | 28.471315 | 303808 | 652 | 645940 | 
j30_9_3.rcp | 60.000122 | 478212 | -1 | 724401 | 60.000217 | 387756 | -1 | 520431 | 60.000027 | 272671 | -1 | 363808 | 60.000267 | 421850 | -1 | 632735 | 
j30_9_4.rcp | 60.00004 | 510026 | -1 | 1114628 | 60.000435 | 391629 | -1 | 1003539 | 60.00004 | 270122 | -1 | 692120 | 60.000187 | 395647 | -1 | 1084578 | 
j30_9_5.rcp | 60.000023 | 1886768 | -1 | 215115 | 60.000042 | 1350346 | -1 | 116911 | 60.00002 | 1045286 | -1 | 83021 | 60.00005 | 1241032 | -1 | 62208 | 
j30_9_6.rcp | 0.00115095 | 10 | 626 | 7 | 0.001212215 | 10 | 626 | 7 | 0.001875558 | 10 | 626 | 7 | 8.27843E-4 | 10 | 626 | 11 | 
j30_9_7.rcp | 0.00308465 | 16 | 607 | 15 | 0.002656343 | 16 | 607 | 21 | 0.004581722 | 16 | 607 | 21 | 0.002203123 | 16 | 607 | 23 | 
j30_9_8.rcp | 0.010981204 | 140 | 435 | 227 | 0.014305835 | 140 | 435 | 214 | 0.018111624 | 140 | 435 | 206 | 0.015776113 | 140 | 435 | 225 | 
j30_9_9.rcp | 60.000027 | 854045 | -1 | 804265 | 60.000053 | 525388 | -1 | 704370 | 60.00007 | 541357 | -1 | 519560 | 60.000187 | 633719 | -1 | 474107 | 
j30_9_10.rcp | 0.005648506 | 22 | 674 | 62 | 0.006214859 | 22 | 674 | 74 | 0.007816081 | 22 | 674 | 74 | 0.006971112 | 22 | 674 | 75 | 
j30_10_1.rcp | 6.68877E-4 | 11 | 408 | 0 | 0.001019918 | 11 | 408 | 2 | 0.00112474 | 11 | 408 | 2 | 0.001201878 | 11 | 408 | 2 | 
j30_10_2.rcp | 6.78288E-4 | 9 | 480 | 0 | 9.39971E-4 | 9 | 480 | 1 | 0.001272238 | 9 | 480 | 1 | 9.03557E-4 | 9 | 480 | 2 | 
j30_10_3.rcp | 5.05984E-4 | 8 | 509 | 0 | 5.4505E-4 | 8 | 509 | 0 | 9.67159E-4 | 8 | 509 | 0 | 5.0258E-4 | 8 | 509 | 0 | 
j30_10_4.rcp | 7.22649E-4 | 10 | 461 | 0 | 8.14597E-4 | 10 | 461 | 1 | 0.001169983 | 10 | 461 | 1 | 6.98373E-4 | 10 | 461 | 5 | 
j30_10_5.rcp | 0.003753735 | 108 | 308 | 0 | 0.00531718 | 108 | 308 | 8 | 0.007779135 | 108 | 308 | 8 | 0.004532728 | 108 | 308 | 8 | 
j30_10_6.rcp | 5.86935E-4 | 10 | 462 | 0 | 7.14529E-4 | 10 | 462 | 1 | 0.001030037 | 10 | 462 | 1 | 6.86795E-4 | 10 | 462 | 3 | 
j30_10_7.rcp | 6.4497E-4 | 10 | 562 | 1 | 7.85843E-4 | 10 | 562 | 3 | 0.001121293 | 10 | 562 | 3 | 7.21404E-4 | 10 | 562 | 4 | 
j30_10_8.rcp | 5.96986E-4 | 9 | 330 | 0 | 7.98978E-4 | 9 | 330 | 1 | 0.001137183 | 9 | 330 | 1 | 6.96894E-4 | 9 | 330 | 4 | 
