Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_13_1.rcp | 60.000042 | 695365 | -1 | 280064 | 60.00003 | 594238 | -1 | 221190 | 60.00017 | 397713 | -1 | 147356 | 60.000072 | 754442 | -1 | 1401038 | 
j30_13_2.rcp | 0.1643282 | 1221 | 346 | 1564 | 0.17845295 | 1221 | 346 | 1426 | 0.272404 | 1221 | 346 | 1426 | 0.16384697 | 1221 | 346 | 2110 | 
j30_13_3.rcp | 60.000187 | 344542 | -1 | 336828 | 60.00029 | 293652 | -1 | 342779 | 60.000008 | 200771 | -1 | 234476 | 60.000046 | 353189 | -1 | 519002 | 
j30_13_4.rcp | 60.00002 | 539622 | -1 | 437226 | 60.000187 | 487760 | -1 | 512842 | 60.000072 | 346741 | -1 | 364792 | 60.00008 | 637305 | -1 | 580631 | 
j30_13_5.rcp | 0.42886707 | 4019 | 606 | 1386 | 0.49394748 | 4019 | 606 | 1879 | 0.71728116 | 4019 | 606 | 1874 | 0.31565616 | 4019 | 606 | 3227 | 
j30_13_6.rcp | 60.00095 | 668256 | -1 | 316235 | 60.000095 | 613765 | -1 | 272145 | 60.00008 | 438181 | -1 | 195593 | 60.000053 | 1029652 | -1 | 445257 | 
j30_13_7.rcp | 0.042644627 | 376 | 711 | 309 | 0.050453585 | 376 | 711 | 328 | 0.0741634 | 376 | 711 | 328 | 0.046791703 | 376 | 711 | 356 | 
j30_13_8.rcp | 60.000023 | 901873 | -1 | 957306 | 60.000023 | 731917 | -1 | 772375 | 60.00002 | 519657 | -1 | 543291 | 60.000034 | 833017 | -1 | 848819 | 
j30_13_9.rcp | 0.7746472 | 4731 | 484 | 2028 | 0.8638025 | 4731 | 484 | 4252 | 1.3585547 | 4731 | 484 | 4252 | 0.7695213 | 4731 | 484 | 4380 | 
j30_13_10.rcp | 60.00002 | 705384 | -1 | 181418 | 60.00085 | 638169 | -1 | 499028 | 60.000015 | 416367 | -1 | 326198 | 60.000042 | 707149 | -1 | 1407423 | 
j30_14_1.rcp | 0.003852306 | 72 | 252 | 0 | 0.005200404 | 72 | 252 | 0 | 0.008684021 | 72 | 252 | 0 | 0.004498899 | 72 | 252 | 9 | 
j30_14_2.rcp | 60.000072 | 591966 | -1 | 597 | 60.000027 | 529060 | -1 | 766 | 60.00006 | 351244 | -1 | 536 | 60.000126 | 577530 | -1 | 678741 | 
j30_14_3.rcp | 0.003653487 | 54 | 392 | 3 | 0.004447956 | 54 | 392 | 3 | 0.006841093 | 54 | 392 | 3 | 0.003570089 | 54 | 392 | 22 | 
j30_14_4.rcp | 0.004650343 | 65 | 313 | 6 | 0.005675964 | 65 | 313 | 9 | 0.009441381 | 65 | 313 | 9 | 0.005983069 | 65 | 313 | 20 | 
j30_14_5.rcp | 0.005302308 | 74 | 410 | 3 | 0.006215302 | 74 | 410 | 5 | 0.009743285 | 74 | 410 | 5 | 0.005276681 | 74 | 410 | 15 | 
j30_14_6.rcp | 0.003519487 | 58 | 284 | 0 | 0.004139688 | 58 | 284 | 1 | 0.006452945 | 58 | 284 | 1 | 0.00408193 | 58 | 284 | 1 | 
j30_14_7.rcp | 0.001261048 | 18 | 386 | 0 | 0.00139298 | 18 | 386 | 1 | 0.002188598 | 18 | 386 | 1 | 0.001133967 | 18 | 386 | 4 | 
j30_14_8.rcp | 0.001083732 | 18 | 532 | 0 | 0.001358434 | 18 | 532 | 0 | 0.002002892 | 18 | 532 | 0 | 0.001102256 | 18 | 532 | 2 | 
j30_14_9.rcp | 0.003415857 | 38 | 433 | 2 | 0.00386597 | 38 | 433 | 5 | 0.005795339 | 38 | 433 | 5 | 0.003323869 | 38 | 433 | 8 | 
j30_14_10.rcp | 0.002754563 | 36 | 265 | 2 | 0.003313051 | 36 | 265 | 4 | 0.006329494 | 36 | 265 | 4 | 0.002792308 | 36 | 265 | 10 | 
j30_15_1.rcp | 0.003140806 | 54 | 338 | 0 | 0.003657037 | 54 | 338 | 1 | 0.005409032 | 54 | 338 | 1 | 0.003470971 | 54 | 338 | 4 | 
j30_15_2.rcp | 8.85084E-4 | 18 | 481 | 0 | 0.001083804 | 18 | 481 | 0 | 0.001661791 | 18 | 481 | 0 | 9.45539E-4 | 18 | 481 | 0 | 
j30_15_3.rcp | 0.003739704 | 54 | 260 | 0 | 0.004114177 | 54 | 260 | 3 | 0.006882274 | 54 | 260 | 3 | 0.003604353 | 54 | 260 | 19 | 
j30_15_4.rcp | 9.92062E-4 | 18 | 253 | 0 | 0.001054598 | 18 | 253 | 0 | 0.001751136 | 18 | 253 | 0 | 9.35396E-4 | 18 | 253 | 0 | 
j30_15_5.rcp | 0.001384119 | 18 | 588 | 0 | 0.001635575 | 18 | 588 | 0 | 0.002517561 | 18 | 588 | 0 | 0.001527527 | 18 | 588 | 2 | 
j30_15_6.rcp | 9.35229E-4 | 18 | 679 | 0 | 0.001220289 | 18 | 679 | 1 | 0.001889701 | 18 | 679 | 1 | 0.001075374 | 18 | 679 | 1 | 
j30_15_7.rcp | 0.00327123 | 54 | 302 | 0 | 0.00382806 | 54 | 302 | 0 | 0.00591782 | 54 | 302 | 0 | 0.004701128 | 54 | 302 | 7 | 
j30_15_8.rcp | 0.001179472 | 18 | 576 | 1 | 0.001366451 | 18 | 576 | 1 | 0.002189373 | 18 | 576 | 1 | 0.001136178 | 18 | 576 | 3 | 
j30_15_9.rcp | 0.002903793 | 36 | 333 | 0 | 0.003834197 | 36 | 333 | 2 | 0.005120086 | 36 | 333 | 2 | 0.002918747 | 36 | 333 | 5 | 
j30_15_10.rcp | 8.89246E-4 | 18 | 523 | 0 | 0.001184688 | 18 | 523 | 0 | 0.001971626 | 18 | 523 | 0 | 0.001285465 | 18 | 523 | 0 | 
j30_16_1.rcp | 0.002660236 | 36 | 318 | 0 | 0.002835023 | 36 | 318 | 2 | 0.004319983 | 36 | 318 | 2 | 0.002609581 | 36 | 318 | 3 | 
j30_16_2.rcp | 0.001050721 | 18 | 510 | 0 | 0.001452741 | 18 | 510 | 0 | 0.001834167 | 18 | 510 | 0 | 0.001076674 | 18 | 510 | 0 | 
j30_16_3.rcp | 8.82671E-4 | 18 | 255 | 0 | 9.979E-4 | 18 | 255 | 0 | 0.001556692 | 18 | 255 | 0 | 8.63001E-4 | 18 | 255 | 0 | 
j30_16_4.rcp | 8.52624E-4 | 18 | 304 | 0 | 0.001069279 | 18 | 304 | 0 | 0.00178469 | 18 | 304 | 0 | 0.001083415 | 18 | 304 | 0 | 
j30_16_5.rcp | 0.00108975 | 18 | 287 | 0 | 0.001330626 | 18 | 287 | 0 | 0.001749475 | 18 | 287 | 0 | 0.001024873 | 18 | 287 | 0 | 
j30_16_6.rcp | 8.35943E-4 | 18 | 382 | 0 | 0.001078725 | 18 | 382 | 0 | 0.001599057 | 18 | 382 | 0 | 8.98381E-4 | 18 | 382 | 0 | 
j30_16_7.rcp | 9.06855E-4 | 18 | 428 | 0 | 0.001189374 | 18 | 428 | 0 | 0.00211007 | 18 | 428 | 0 | 0.001158919 | 18 | 428 | 0 | 
j30_16_8.rcp | 9.16714E-4 | 18 | 326 | 0 | 0.001061914 | 18 | 326 | 0 | 0.001606199 | 18 | 326 | 0 | 8.86738E-4 | 18 | 326 | 0 | 
j30_16_9.rcp | 8.65386E-4 | 18 | 484 | 0 | 0.001042427 | 18 | 484 | 0 | 0.001573353 | 18 | 484 | 0 | 9.5921E-4 | 18 | 484 | 0 | 
j30_16_10.rcp | 8.39305E-4 | 18 | 381 | 0 | 0.001036299 | 18 | 381 | 0 | 0.001594787 | 18 | 381 | 0 | 9.81376E-4 | 18 | 381 | 0 | 
j30_17_1.rcp | 1.55336E-4 | 18 | 680 | 2 | 1.57157E-4 | 18 | 680 | 3 | 2.01705E-4 | 18 | 680 | 3 | 1.5226E-4 | 18 | 680 | 3 | 
j30_17_2.rcp | 2.58179E-4 | 36 | 589 | 3 | 3.04772E-4 | 36 | 589 | 3 | 3.86957E-4 | 36 | 589 | 3 | 2.96682E-4 | 36 | 589 | 3 | 
