Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_7_6.rcp | 3.09246E-4 | 18 | 378 | 0 | 3.77734E-4 | 18 | 378 | 0 | 5.29024E-4 | 18 | 378 | 0 | 3.65121E-4 | 18 | 378 | 0 | 
j30_7_7.rcp | 4.42034E-4 | 18 | 680 | 0 | 5.8971E-4 | 18 | 680 | 1 | 7.30489E-4 | 18 | 680 | 1 | 4.92563E-4 | 18 | 680 | 2 | 
j30_7_8.rcp | 5.92833E-4 | 18 | 512 | 2 | 6.95127E-4 | 18 | 512 | 3 | 9.31331E-4 | 18 | 512 | 3 | 6.03512E-4 | 18 | 512 | 4 | 
j30_7_9.rcp | 3.42567E-4 | 18 | 477 | 0 | 4.41682E-4 | 18 | 477 | 0 | 6.15861E-4 | 18 | 477 | 0 | 4.00496E-4 | 18 | 477 | 0 | 
j30_7_10.rcp | 3.18262E-4 | 18 | 285 | 1 | 3.9578E-4 | 18 | 285 | 1 | 5.58249E-4 | 18 | 285 | 1 | 3.64039E-4 | 18 | 285 | 1 | 
j30_8_1.rcp | 3.84135E-4 | 18 | 306 | 0 | 5.03268E-4 | 18 | 306 | 1 | 6.98395E-4 | 18 | 306 | 1 | 0.001367981 | 18 | 306 | 2 | 
j30_8_2.rcp | 3.29853E-4 | 18 | 455 | 0 | 3.97876E-4 | 18 | 455 | 0 | 5.50686E-4 | 18 | 455 | 0 | 3.63656E-4 | 18 | 455 | 0 | 
j30_8_3.rcp | 2.80408E-4 | 18 | 379 | 0 | 3.57846E-4 | 18 | 379 | 0 | 4.40168E-4 | 18 | 379 | 0 | 2.99116E-4 | 18 | 379 | 0 | 
j30_8_4.rcp | 3.54427E-4 | 18 | 334 | 0 | 4.28626E-4 | 18 | 334 | 2 | 6.04358E-4 | 18 | 334 | 2 | 3.90815E-4 | 18 | 334 | 2 | 
j30_8_5.rcp | 7.46181E-4 | 18 | 476 | 0 | 5.82556E-4 | 18 | 476 | 0 | 7.81962E-4 | 18 | 476 | 0 | 5.19492E-4 | 18 | 476 | 0 | 
j30_8_6.rcp | 3.41068E-4 | 18 | 651 | 0 | 4.15057E-4 | 18 | 651 | 0 | 5.7372E-4 | 18 | 651 | 0 | 3.84939E-4 | 18 | 651 | 0 | 
j30_8_7.rcp | 5.79995E-4 | 18 | 362 | 0 | 4.67663E-4 | 18 | 362 | 0 | 6.18607E-4 | 18 | 362 | 0 | 3.99225E-4 | 18 | 362 | 0 | 
j30_8_8.rcp | 3.31113E-4 | 18 | 478 | 0 | 4.19693E-4 | 18 | 478 | 0 | 5.96395E-4 | 18 | 478 | 0 | 3.82488E-4 | 18 | 478 | 0 | 
j30_8_9.rcp | 3.48207E-4 | 18 | 379 | 0 | 4.24352E-4 | 18 | 379 | 0 | 5.9218E-4 | 18 | 379 | 0 | 3.90336E-4 | 18 | 379 | 0 | 
j30_8_10.rcp | 3.39986E-4 | 18 | 759 | 0 | 4.58717E-4 | 18 | 759 | 0 | 6.33613E-4 | 18 | 759 | 0 | 4.27557E-4 | 18 | 759 | 0 | 
j30_9_1.rcp | 600.00006 | 9318240 | -1 | 12391990 | 600.0001 | 10167415 | -1 | 12972535 | 600.00006 | 7119475 | -1 | 9206448 | 600.00006 | 11158440 | -1 | 15788759 | 
j30_9_2.rcp | 600.0001 | 19176211 | -1 | 10611622 | 600.00006 | 22595710 | -1 | 5596429 | 600.00006 | 16463205 | -1 | 4074965 | 600.00006 | 22314412 | -1 | 5624388 | 
j30_9_3.rcp | 26.771194 | 446659 | 377 | 116817 | 32.19599 | 446659 | 377 | 65171 | 43.295788 | 446659 | 377 | 65171 | 30.579176 | 446659 | 377 | 433764 | 
j30_9_4.rcp | 300.12964 | 3848793 | 392 | 2326520 | 363.10117 | 3848793 | 392 | 2356966 | 534.9502 | 3848793 | 392 | 2356965 | 310.7105 | 3848793 | 392 | 5183732 | 
j30_9_5.rcp | 600.0002 | 9247186 | -1 | 5905394 | 600.00006 | 10179359 | -1 | 6451821 | 600.00006 | 7373549 | -1 | 4684593 | 600.00006 | 11657012 | -1 | 7227851 | 
j30_9_6.rcp | 0.002495144 | 48 | 626 | 8 | 0.00309071 | 48 | 626 | 14 | 0.004554648 | 48 | 626 | 14 | 0.002532214 | 48 | 626 | 24 | 
j30_9_7.rcp | 0.005748882 | 80 | 607 | 21 | 0.005809691 | 80 | 607 | 29 | 0.008203245 | 80 | 607 | 29 | 0.00492532 | 80 | 607 | 38 | 
j30_9_8.rcp | 0.004731581 | 80 | 435 | 35 | 0.006429236 | 80 | 435 | 57 | 0.008724858 | 80 | 435 | 57 | 0.004939902 | 80 | 435 | 73 | 
j30_9_9.rcp | 0.009884461 | 130 | 532 | 71 | 0.012397031 | 130 | 532 | 90 | 0.018637428 | 130 | 532 | 90 | 0.010032543 | 130 | 532 | 106 | 
j30_9_10.rcp | 0.007403217 | 98 | 674 | 38 | 0.008866321 | 98 | 674 | 55 | 0.011375359 | 98 | 674 | 55 | 0.00706115 | 98 | 674 | 79 | 
